id,price,minimum_nights,calculated_host_listings_count,latitude,longitude,last_review_days_ago,reviews_per_month,is_superhost_proxy,avail_rate,room_type_enc,neighbourhood_enc,is_unsold
43082358,3538.0,1,7,25.05155,121.56964,424,0.16,1,0.38082191780821917,2,10,0
43085445,286.0,30,16,25.092,121.52763,358,0.08,1,0.8356164383561644,3,6,1
43087794,1566.0,15,1,25.02167,121.54154,1611,0.1,0,0.9232876712328767,0,8,1
43102878,4495.0,5,11,25.04167,121.50316,152,0.89,1,0.43561643835616437,0,11,0
43135153,393.0,7,21,25.04894,121.58753,272,0.21,1,0.5506849315068493,2,5,0
43136107,480.0,7,21,25.04895,121.58893,228,0.19,1,0.9835616438356164,2,5,0
43136668,400.0,7,21,25.04734,121.58927,213,0.25,1,0.8684931506849315,2,5,0
43173520,950.0,30,20,25.02527,121.53909,218,0.24,1,0.2493150684931507,2,8,0
43173879,2010.0,30,20,25.02527,121.53909,533,0.07,1,0.0,2,8,0
43225361,1361.0,1,1,25.00126,121.55439,9999,0.0,0,0.21095890410958903,0,9,0
43233588,2113.0,30,65,25.05321,121.52254,245,0.7,1,0.44931506849315067,0,0,0
43314389,2010.0,3,1,24.99144,121.56701,2025,0.02,0,0.0,2,9,0
43330618,2010.0,30,4,25.06636,121.52487,135,0.28,1,0.547945205479452,0,0,0
43331656,1646.0,6,7,25.04508,121.50542,177,0.43,1,0.3232876712328767,0,11,0
43408241,2342.0,1,15,25.04305,121.50681,93,2.43,1,0.7780821917808219,0,11,0
43475850,2085.0,3,20,25.04252,121.55058,121,0.4,1,0.4438356164383562,0,8,0
43481183,1880.0,1,16,25.04248,121.55063,101,0.33,1,0.947945205479452,0,8,0
43481374,2703.0,1,16,25.0423,121.5511,150,0.64,1,0.947945205479452,0,8,0
43492183,1503.0,30,3,25.04243,121.50572,183,0.17,1,0.8356164383561644,0,11,0
43522223,3185.0,7,20,25.04104,121.5015,107,0.82,1,0.3506849315068493,0,11,0
43548104,2010.0,29,8,25.0398,121.57237,1737,0.06,1,0.4904109589041096,0,2,0
43570062,2010.0,1,8,25.0432,121.50627,376,0.6,1,0.7479452054794521,0,11,1
43675160,1380.0,2,5,25.04332,121.50789,9999,0.0,1,0.6356164383561644,0,11,0
43779776,1380.0,30,15,25.10462,121.52518,365,0.09,1,0.4931506849315068,2,6,0
43873637,5000.0,14,1,25.10515,121.53171,142,0.43,0,0.9260273972602739,0,6,0
43916818,2010.0,30,28,25.04734,121.50613,197,0.52,1,0.13150684931506848,0,11,0
43917341,1350.0,30,28,25.0452,121.50583,125,0.69,1,0.38904109589041097,0,11,0
43956761,3979.0,1,1,25.03784,121.50644,9999,0.0,0,0.4657534246575342,0,11,0
43975304,1366.0,30,15,25.03853,121.55748,713,0.13,1,0.40273972602739727,0,8,0
43989236,1466.0,30,15,25.03888,121.55752,944,0.04,1,0.4931506849315068,0,8,0
44055182,2366.0,5,1,24.99262,121.5398,9999,0.0,0,0.2465753424657534,2,9,0
